Wind power [kW];Nuclear power plant [kW];Demand [kWh];Total power supply [Kw];Supply - Demand;;;;;
2273,531;1417741,94;1766353;1420015,471;-346337,529;;;;;
1938,099;1417741,94;1683908;1419680,039;-264227,961;;;;;
1672,349;1417741,94;1597242;1419414,289;-177827,711;;;;;
1630,488;1417741,94;1504975;1419372,428;-85602,572;;;;;
1587,76;1417741,94;1416343;1419329,7;2986,7;;;;;
1449,53;1433870,97;1361079;1435320,5;74241,5;;;;;
1228,589;1433870,97;1329656;1435099,559;105443,559;;;;;
1127,056;1433870,97;1321225;1434998,026;113773,026;;;;;
1038,86;1433870,97;1323721;1434909,83;111188,83;;;;;
935,587;1433870,97;1342684;1434806,557;92122,557;;;;;
833,748;1433870,97;1388392;1434704,718;46312,718;;;;;
707,933;1433870,97;1479755;1434578,903;-45176,097;;;;;
629,028;1433870,97;1569186;1434499,998;-134686,002;;;;;
553,071;1433870,97;1595304;1434424,041;-160879,959;;;;;
395,968;1433870,97;1584655;1434266,938;-150388,062;;;;;
250,971;1433870,97;1560599;1434121,941;-126477,059;;;;;
198,789;1433870,97;1540365;1434069,759;-106295,241;;;;;
204,142;1433870,97;1516615;1434075,112;-82539,888;;;;;
276,074;1433870,97;1478329;1434147,044;-44181,956;;;;;
518,312;1433870,97;1473930;1434389,282;-39540,718;;;;;
706,61;1433870,97;1539246;1434577,58;-104668,42;;;;;
775,787;1433870,97;1720793;1434646,757;-286146,243;;;;;
940,821;1433870,97;1858692;1434811,791;-423880,209;;;;;
1128,623;1433870,97;1872141;1434999,593;-437141,407;;;;;
1262,379;1433870,97;1834899;1435133,349;-399765,651;;;;;
1535,873;1433870,97;1776370;1435406,843;-340963,157;;;;;
1703,681;1433870,97;1710013;1435574,651;-274438,349;;;;;
1788,379;1433870,97;1626862;1435659,349;-191202,651;;;;;
1974,632;1433870,97;1538385;1435845,602;-102539,398;;;;;
2157,828;1432258,06;1490711;1434415,888;-56295,112;;;;;
2146,75;1432258,06;1469022;1434404,81;-34617,19;;;;;
2086,613;1432258,06;1474306;1434344,673;-39961,327;;;;;
2019,806;1432258,06;1482427;1434277,866;-48149,134;;;;;
1938,112;1432258,06;1504510;1434196,172;-70313,828;;;;;
1815,443;1432258,06;1560517;1434073,503;-126443,497;;;;;
1642,531;1432258,06;1660095;1433900,591;-226194,409;;;;;
1438,215;1432258,06;1760487;1433696,275;-326790,725;;;;;
1191,497;1432258,06;1775342;1433449,557;-341892,443;;;;;
1033,007;1432258,06;1753817;1433291,067;-320525,933;;;;;
1061,975;1432258,06;1713489;1433320,035;-280168,965;;;;;
1064,983;1432258,06;1682256;1433323,043;-248932,957;;;;;
1326,731;1432258,06;1667958;1433584,791;-234373,209;;;;;
1460,103;1432258,06;1637992;1433718,163;-204273,837;;;;;
1558,171;1432258,06;1641695;1433816,231;-207878,769;;;;;
1578,308;1432258,06;1696852;1433836,368;-263015,632;;;;;
1671,463;1432258,06;1833592;1433929,523;-399662,477;;;;;
1923,643;1432258,06;1930939;1434181,703;-496757,297;;;;;
2118,032;1432258,06;1908041;1434376,092;-473664,908;;;;;
2272,602;1432258,06;1842490;1434530,662;-407959,338;;;;;
2372,267;1432258,06;1756618;1434630,327;-321987,673;;;;;
2380,014;1432258,06;1662248;1434638,074;-227609,926;;;;;
